shipment_id,region,transport_mode,shipment_volume_kg,distance_km,transport_cost,delivery_time_days,estimated_delivery_days,late_flag,fuel_cost,customer_satisfaction
1,South,Rail,109.41461833814648,431.0281191691994,1131.4774077478708,5.859402440199651,6.395684189170745,0,77.2239268671377,4.505748193730564
2,Central,Road,209.22610197758027,154.98698365040863,837.2384796573175,5.210088512176913,7.909046418267038,0,85.4488147420939,5.0
3,West,Road,86.72783025146317,458.5668645629168,1736.4753059207737,4.651074666005079,4.31454424390146,1,77.00646482830894,4.656210095780718
4,East,Air,105.34184665821034,473.2447131011431,3643.198604812615,5.19477562169804,5.705669618580913,0,254.05919045654457,3.6657858555979783
5,North,Road,66.62992133578479,504.28178043085126,1802.5504515112718,5.179892367547221,5.541887544092295,0,137.4307061539852,5.0
6,North,Sea,159.01064870968213,509.17023057304715,942.9104806478379,8.007436377079026,8.204901713602997,0,20.0,5.0
7,North,Road,91.11682125473655,500.2112410846764,1662.9833119774717,7.543160525830246,11.811043489096587,0,113.09872733146113,4.785123581894394
8,Central,Air,76.79211614842924,986.9698112313096,6466.563728888883,6.964740831774176,10.056144468334487,0,440.2656566509175,1.0
9,West,Road,116.3584962011031,654.0804176397248,2453.293389982953,7.93278334370449,9.959473675851966,0,131.11995946922218,4.557383207711408
10,West,Sea,142.8981670405908,699.4014145112134,1130.974741171118,10.39194200611091,13.041980265688762,0,31.999069190341466,4.1203262035372115
11,North,Sea,119.4207286760626,551.5074092599907,805.6908090586608,11.615934741839144,12.665589583448009,0,20.0,3.5927742775922273
12,Central,Road,34.65302840687953,667.0968669715696,2075.896650468315,5.975146542657638,5.15108750575669,1,143.2598175492557,4.7174783344867715
13,Central,Air,134.4311060135568,287.39482462951185,2694.266398294388,6.589693161821291,8.510060621347701,0,140.60023410742716,4.427961844827795
14,North,Air,18.84831487254256,579.2782516049554,3403.5510393303657,4.272660544196485,1.7844200617443455,1,237.4277414117397,3.8582270439279003
15,North,Road,78.3038752387987,809.0156723054768,2829.955005409366,7.612607491736009,10.754722023945861,0,198.99923775615198,3.081865305690316
16,North,Rail,82.8212912934365,331.4861533918656,1264.066378111706,4.882199610729591,4.043995805374244,1,39.35674672968446,5.0
17,South,Road,118.47956634917014,928.7954403738107,3041.522449298595,7.262978603480705,5.632759958344859,1,189.371006576537,3.0057525157303866
18,East,Air,88.06990906367888,305.4417673979881,2298.0969078718254,4.500562758876508,3.6940470674119723,1,148.2242896679757,4.907267369756577
19,East,Road,89.19523243950701,517.0993306784018,1854.5214044884656,6.112243656566251,8.040167897980213,0,152.53644760228227,4.904342319301852
20,South,Road,93.0713123680751,196.7669716348624,584.5938690569353,7.163167264770935,10.236005654652772,0,23.226014671198946,4.838820476544653
21,West,Road,91.50146284790296,640.0450770641045,2117.3134777008586,8.129635781712574,11.463375200069084,0,173.93905477552974,3.6750689302036026
22,North,Road,39.35731059964682,842.609591361532,2819.0680990671417,8.989032964230027,9.745505052253087,0,192.1951514550664,3.6735149128253886
23,South,Air,68.62108930723875,373.80122167609886,2480.425315003362,7.690664641498301,5.2715370722241275,1,128.9510222659193,4.008328317982446
24,South,Sea,134.82795093798688,159.97126379645198,933.1648934572047,8.666980367217661,9.922847851528223,0,73.16112357186111,3.8349685333536097
25,East,Road,60.1770391653037,389.18428036812116,1327.116424380185,5.702897905207729,7.092712735147169,0,100.1481314693085,4.617069720769987
26,West,Road,92.1692075172328,213.79136494916597,892.874914904051,3.772437848049508,7.636574862200467,0,78.37720144132314,5.0
27,North,Rail,169.85808691008228,403.4275795825266,1154.2749021358002,6.543071839163595,8.873009012345163,0,75.80386795979439,4.880510689747478
28,East,Road,132.54584887205698,654.1573384150411,2312.8368829578567,7.648719043497591,5.810035618117013,1,132.3077441280523,3.787956788709373
29,East,Road,100.1647246075205,516.5636730748668,1746.5880808811,6.230504382107934,4.197856926224749,1,129.69888940386775,4.852737342217669
30,North,Road,70.73560052643369,138.55700181357506,282.6676386708861,4.546922193533565,7.027012326551311,0,87.30191543397439,5.0
31,West,Road,89.13833615343333,307.5695193367999,1145.692099545724,9.250666776169236,7.561482917090514,1,67.70901522610136,4.225236706528297
32,North,Road,124.3495727706814,434.5120882497265,1987.4087060557167,10.935145224059783,14.509722126394026,0,66.41925957245829,3.523975215365714
33,North,Air,59.98535822258002,935.1530963542508,6156.9810248916565,7.577776596663104,9.944167375507785,0,391.03235580383244,1.0
34,Central,Road,87.26068465064077,345.21376464399265,1134.2827321082732,6.3228018625086495,5.964650314213206,1,120.06946360009991,4.587167499805465
35,Central,Air,66.32859803648199,525.1880700640664,3233.593258581052,7.447585055066184,8.047851058255615,0,253.02339511510627,2.6642968133411635
36,Central,Road,59.50512746486327,426.0791794857191,1159.514859888057,6.007470518619885,4.00662505421704,1,77.04070163524315,4.476029765105326
37,South,Road,84.62903498536386,259.46644378065923,878.8519035543727,5.7716260900457454,6.253906123978975,0,104.6777693889467,4.494992589133357
38,North,Air,70.93028870773205,282.9346889880041,2041.1060850517697,7.024044274334495,6.438073655641575,1,158.24689624900157,4.080849346434687
39,West,Road,101.28745100263272,335.577553501766,1389.829229029213,4.876136139959629,5.689365684937375,0,111.24036556520855,4.694876257217266
